tx_hash,timestamp,type,onchaindata_source,forex_data_source,forex_rate_date_utc,amount_sent_parsed,amount_received_parsed,usdc_per_rex,usd_to_eur,eur_to_usd,rex_inflow_lp,rex_sold_in_swap,rex_bought_in_swap,usdc_value_at_inflow,eur_value_at_inflow,is_taxable,tax_basis_eur,tax_rate,tax_amount_eur,notes
0xaf447013c012f65c669793d9c0e6c3c4bd2a3bcf6a5698081ab300088e3ef826,2025-08-18 18:00:09 CEST,add_liquidity,dexscreener.com,frankfurter.app,2025-08-18,-1.077856394472 ETH; -0.017797400000 WBTC,,0.4316596591156373,0.85668,1.167297,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,Non-taxable
0x78818398befeb3e79544b2002b5a745559a273ab6739eb24ef7d413c440a4c4e,2025-08-18 18:07:25 CEST,remove_liquidity,dexscreener.com,frankfurter.app,2025-08-18,,+44.991403986921 REX; +0.149039560000 WBTC,0.4316596591156373,0.85668,1.167297,44.991403986921,0.0,0.0,19.420974108128245,16.64,True,16.64,0.275,4.58,LP reward inflow (taxable at receipt)
0x08babebc220341af36c5099af1b553e93f41e2e4c78957c82e3bac87c66b1e59,2025-08-18 18:13:09 CEST,swap,dexscreener.com,frankfurter.app,2025-08-18,-0.102792840000 WBTC,+2.744590987073 ETH,0.4316596591156373,0.85668,1.167297,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,Swap (not taxable here; investment tax later)
0xeb4ab5868e5090608e6d227f98d7357c71ae01e901b31f3d5423d4563bcf35ad,2025-08-18 18:13:35 CEST,add_liquidity,dexscreener.com,frankfurter.app,2025-08-18,-1.779239674044 ETH; -0.046246720000 WBTC,,0.4316596591156373,0.85668,1.167297,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,Non-taxable
0x1da5bdf0dee84c966b7f29b40c03acad0737d084c10de211bb9b0b9626806a54,2025-08-18 18:30:09 CEST,remove_liquidity,dexscreener.com,frankfurter.app,2025-08-18,,+3.016455661496 ETH; +80.103412507039 REX,0.4316596591156373,0.85668,1.167297,80.103412507039,0.0,0.0,34.57741173678773,29.62,True,29.62,0.275,8.15,LP reward inflow (taxable at receipt)
0x39df3a17e45ba2dabce0f8f9ca582bd39bbe33e6e4670c2b9ce17689372ab109,2025-08-18 18:31:10 CEST,swap,dexscreener.com,frankfurter.app,2025-08-18,-1.460948519409 ETH,+0.054466170000 WBTC,0.4316596591156373,0.85668,1.167297,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,Swap (not taxable here; investment tax later)
0xd34740b27f9b43f6fc688b4e3a0a6b116d92fca7c019e30f6047c3aba6cb5e8e,2025-08-18 18:31:46 CEST,add_liquidity,dexscreener.com,frankfurter.app,2025-08-18,-2.520275742441 ETH; -0.023634670000 WBTC,,0.4316596591156373,0.85668,1.167297,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,Non-taxable
0x87e6218cae82e9ff6ae94b8dcda8e89a38b37cea4dc9b616ad65f812ba4cc577,2025-08-18 18:34:32 CEST,remove_liquidity,dexscreener.com,frankfurter.app,2025-08-18,,+3.153261400408 ETH; +17.622566848918 REX,0.4316596591156373,0.85668,1.167297,17.622566848918,0.0,0.0,7.606951198746475,6.52,True,6.52,0.275,1.79,LP reward inflow (taxable at receipt)
0x7321c26904384b97fea04ec704343dffe7008e9404481c82af534aa776984cc0,2025-08-18 18:34:52 CEST,add_liquidity,dexscreener.com,frankfurter.app,2025-08-18,-0.847968794639 ETH; -0.030831500000 WBTC,,0.4316596591156373,0.85668,1.167297,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,Non-taxable
0x76a187e71e86fcf4cf4c4d78721676cdf27e397371632c4087e589116ebeab16,2025-08-18 18:35:14 CEST,swap,dexscreener.com,frankfurter.app,2025-08-18,-1.137551630923 ETH,+0.042389510000 WBTC,0.4316596591156373,0.85668,1.167297,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,Swap (not taxable here; investment tax later)
0x49e63926c105baaff06349b3835132bf2716c8f4a83487eae30232b429e51817,2025-08-18 18:35:54 CEST,remove_liquidity,dexscreener.com,frankfurter.app,2025-08-18,,+0.171789685405 REX,0.4316596591156373,0.85668,1.167297,0.171789685405,0.0,0.0,0.07415467704150487,0.06,True,0.06,0.275,0.02,LP reward inflow (taxable at receipt)
0x2b3c3d42a392078ab2246e46c34bc9934b557630ba8600b365caca47149b6c04,2025-08-18 18:36:02 CEST,add_liquidity,dexscreener.com,frankfurter.app,2025-08-18,-1.165852511231 ETH; -0.042389510000 WBTC,,0.4316596591156373,0.85668,1.167297,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,Non-taxable
0x9390914b216195f8d58e9e16438b29476e94552c72f34c7b9a89047f281d4826,2025-08-18 21:08:49 CEST,remove_liquidity,dexscreener.com,frankfurter.app,2025-08-18,,+37.726436411049 REX; +0.085697350000 WBTC; +1.680232266303 WETH,0.432764813458922,0.85668,1.167297,37.726436411049,0.0,0.0,16.3266742158975,13.99,True,13.99,0.275,3.85,LP reward inflow (taxable at receipt)
0x7da803fad4ff742c80b5f5262539631537dc66a452fe2daec3539cd4afd54991,2025-08-18 21:09:13 CEST,remove_liquidity,dexscreener.com,frankfurter.app,2025-08-18,,+3.360464532607 ETH,0.432764813458922,0.85668,1.167297,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,Non-taxable
0xe6faf1f77eba08b562cff80cc30309c71a9528b904f22465ae420f33a7c215a5,2025-08-18 21:09:39 CEST,add_liquidity,dexscreener.com,frankfurter.app,2025-08-18,-0.420232584235 ETH; -0.085697350000 WBTC,,0.432764813458922,0.85668,1.167297,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,Non-taxable
0x0da6247146510abc792d7ae4673f2f316b8dc800b2f3a04554a6b713bb1cabd3,2025-08-18 21:26:04 CEST,remove_liquidity,dexscreener.com,frankfurter.app,2025-08-18,,+49.417942397893 REX; +0.101448240000 WBTC,0.432764813458922,0.85668,1.167297,49.417942397893,0.0,0.0,21.386346623347915,18.32,True,18.32,0.275,5.04,LP reward inflow (taxable at receipt)
0x5666f41fb0cba06cef5fe605fb169729e555d2e83e7946786cef2c19490491a1,2025-08-18 21:39:49 CEST,swap,dexscreener.com,frankfurter.app,2025-08-18,-0.009638245152 ETH,+0.000361480000 WBTC,0.432764813458922,0.85668,1.167297,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,Swap (not taxable here; investment tax later)
0xbe6560d7469257b16b52c61757cb99c71139bca162723b1764dbb894eaccc6d5,2025-08-18 21:40:15 CEST,add_liquidity,dexscreener.com,frankfurter.app,2025-08-18,-0.793977986354 ETH; -0.101809720000 WBTC,,0.432764813458922,0.85668,1.167297,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,Non-taxable
0x992a749b19c9311be37925516c3cbe03c124952a1aa2bafdcb18778c03a06384,2025-08-18 22:38:07 CEST,remove_liquidity,dexscreener.com,frankfurter.app,2025-08-18,,+3.508991920525 ETH; +140.304038844297 REX,0.432764813458922,0.85668,1.167297,140.304038844297,0.0,0.0,60.71865119798554,52.02,True,52.02,0.275,14.31,LP reward inflow (taxable at receipt)
0xac626ea98937ad50cf0902861a014270ecbc4aa1b1fadf6fa2357d1f2d22999e,2025-08-18 22:38:35 CEST,swap,dexscreener.com,frankfurter.app,2025-08-18,-2.587744062557 ETH,+0.096577300000 WBTC,0.432764813458922,0.85668,1.167297,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,Swap (not taxable here; investment tax later)
0xffc5c5052b2eda4a048a631c72e4b9fc2457d8ea0724f6cb3d9798cdc44f5c27,2025-08-18 22:39:13 CEST,failed,dexscreener.com,frankfurter.app,2025-08-18,,,0.432764813458922,0.85668,1.167297,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,Non-taxable
0xa7a5f1f25c556ebce338522cae5502e6f1daab1419acca8f43a1bd6deabdef37,2025-08-18 22:39:31 CEST,add_liquidity,dexscreener.com,frankfurter.app,2025-08-18,-1.379314889012 ETH; -0.014208690000 WBTC,,0.432764813458922,0.85668,1.167297,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,Non-taxable
0x85f21c9fe93883d93930e19f78f86025069e9f09ff6ec096db513a295a5c6259,2025-08-18 22:48:59 CEST,remove_liquidity,dexscreener.com,frankfurter.app,2025-08-18,,+1.759469759641 ETH; +8.242961532114 REX,0.432764813458922,0.85668,1.167297,8.242961532114,0.0,0.0,3.567263709794385,3.06,True,3.06,0.275,0.84,LP reward inflow (taxable at receipt)
0xbf54afe5f1c037ae1add61cfee77d15c0c60424ca402c86559d6ff8450ba8612,2025-08-18 22:49:23 CEST,add_liquidity,dexscreener.com,frankfurter.app,2025-08-18,-1.759411920507 ETH; -0.017788680000 WBTC,,0.432764813458922,0.85668,1.167297,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,Non-taxable
0x9c03e0436b6872e75e92dabda0981e19432ec656fb350069ceae4afd05e8a646,2025-08-18 23:01:01 CEST,remove_liquidity,dexscreener.com,frankfurter.app,2025-08-18,,+2.235826858454 ETH; +38.316507650853 REX,0.432764813458922,0.85668,1.167297,38.316507650853,0.0,0.0,16.582036285918754,14.21,True,14.21,0.275,3.91,LP reward inflow (taxable at receipt)
0x2e8686fadc3f1b81d1f07d9c1af47e9a20eb1b239e6e20db091655f5e1deafb7,2025-08-18 23:01:29 CEST,add_liquidity,dexscreener.com,frankfurter.app,2025-08-18,-1.110506897899 ETH; -0.064579930000 WBTC,,0.432764813458922,0.85668,1.167297,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,Non-taxable
0x8d7543f23a48a34721f9097427aaac3472796166c891929c542b89b5e28297ac,2025-08-18 23:46:00 CEST,remove_liquidity,dexscreener.com,frankfurter.app,2025-08-18,,+2.841468711953 ETH; +149.668126311384 REX,0.432764813458922,0.85668,1.167297,149.668126311384,0.0,0.0,64.77109876389247,55.49,True,55.49,0.275,15.26,LP reward inflow (taxable at receipt)
0x011ce6327220dbec797bd073001a08098ecc6990bedc4de654331cd78ede76ae,2025-08-18 23:47:44 CEST,swap,dexscreener.com,frankfurter.app,2025-08-18,-2.505130000000 ETH,+0.093222290000 WBTC,0.432764813458922,0.85668,1.167297,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,Swap (not taxable here; investment tax later)
0x189e429825bf7e505e6ef78b80900f214edc21da57469d93dec919f34488bd87,2025-08-18 23:48:43 CEST,add_liquidity,dexscreener.com,frankfurter.app,2025-08-18,-1.461569716485 ETH; -0.039544210000 WBTC,,0.432764813458922,0.85668,1.167297,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,Non-taxable
